Country	Mobile subscriptions per capita	Internet users per capita
Algeria	0.9710999100318135	0.12109120177092018
Angola	0.5134087164017216	0.03178419063682903
Benin	0.8275137699157409	0.019693804157961434
Botswana	1.429642301826157	0.055664203834892546
Burkina Faso	0.5434213240269982	0.009697729239399636
Burundi	0.21614225796612155	0.015179015712974624
Cameroon	0.566346693754467	0.03240713600292736
Cape Verde	0.7897351147093503	0.27853342865366226
Central African Republic	0.2027298810013492	0.004281958234234104
Chad	0.3680301981045218	0.014729970547945266
Comoros	0.3260026210610733	0.03168745476713633
Democratic Republic of the Congo	0.25166030974816356	0.0037451372621217956
Republic of the Congo	0.9186165373282608	0.05259042142257519
Cote d'Ivoire	0.8677425092380637	0.04233456040681793
Djibouti	0.25796768368471656	0.0319682440547089
Egypt	1.113986915901445	0.231727691514375
Equatorial Guinea	0.6936617865736985	0.01993758428475301
Eritrea	0.04784664249938448	0.031344017359570576
Ethiopia	0.2123902098668602	0.00462883165432891
Gabon	1.7517668631475485	0.05906981777439515
